2026-07-13 12:20:17.808 | INFO     | __main__:record:116 - tag=t048_e0 | decision=drop_lowf1 | self_f1=0.6649 | serialize=cache | source=val_logits_3500_t048.npz
2026-07-13 12:20:17.910 | INFO     | __main__:record:116 - tag=t048_e1 | decision=ok | self_f1=0.7312 | clean=True | serialize=cache | source=val_logits_3500_t048.npz
2026-07-13 12:20:17.978 | INFO     | __main__:record:116 - tag=t043_e1 | decision=ok | self_f1=0.7167 | clean=True | serialize=cache | source=val_logits_3500_t043.npz
2026-07-13 12:20:18.069 | INFO     | __main__:record:116 - tag=t043_e2 | decision=ok | self_f1=0.7543 | clean=True | serialize=cache | source=val_logits_3500_t043.npz
2026-07-13 12:20:18.137 | INFO     | __main__:record:116 - tag=k6_e2 | decision=ok | self_f1=0.7034 | clean=True | serialize=cache | source=val_logits_3500_k6.npz
2026-07-13 12:20:18.206 | INFO     | __main__:record:116 - tag=k6_e3 | decision=ok | self_f1=0.7415 | clean=True | serialize=cache | source=val_logits_3500_k6.npz
2026-07-13 12:20:18.275 | INFO     | __main__:record:116 - tag=t023_e1 | decision=ok | self_f1=0.7312 | clean=True | serialize=cache | source=val_logits_3500_t023.npz
2026-07-13 12:20:18.343 | INFO     | __main__:record:116 - tag=t023_e3 | decision=ok | self_f1=0.7084 | clean=True | serialize=cache | source=val_logits_3500_t023.npz
2026-07-13 12:20:18.344 | SUCCESS  | __main__:main:159 - stage 1: 38 per-model files from existing caches
2026-07-13 12:21:44.205 | INFO     | __main__:record:116 - tag=e34_a_fgm | decision=ok | self_f1=0.775 | clean=True | serialize=richargs | source=output/e34/vast_r1/e34_a_fgm/
2026-07-13 12:23:09.144 | INFO     | __main__:record:116 - tag=e34_anchor | decision=ok | self_f1=0.7741 | clean=True | serialize=richargs | source=output/e34/vast_r1/e34_anchor/
2026-07-13 12:24:32.447 | INFO     | __main__:record:116 - tag=e34_b_pgd | decision=ok | self_f1=0.7667 | clean=True | serialize=richargs | source=output/e34/vast_r1/e34_b_pgd/
2026-07-13 12:25:57.028 | INFO     | __main__:record:116 - tag=e34_c_awp | decision=ok | self_f1=0.7808 | clean=True | serialize=richargs | source=output/e34/vast_r1/e34_c_awp/
2026-07-13 12:25:57.095 | INFO     | __main__:record:116 - tag=v2_1024_full | decision=skip_no_serialize | source=output/ft_BAAI__bge-m3_v2_1024_full/
2026-07-13 12:25:57.135 | INFO     | __main__:record:116 - tag=e18_smoke_annealsoft | decision=skip_incompat | source=output/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e18_smoke_annealsoft/
2026-07-13 12:25:57.179 | INFO     | __main__:record:116 - tag=e18_smoke_ft0.01 | decision=skip_incompat | source=output/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e18_smoke_ft0.01/
2026-07-13 12:26:22.102 | INFO     | __main__:record:116 - tag=router_e5s | decision=drop_lowf1 | self_f1=0.0349 | serialize=v1 | source=output/ft_intfloat__multilingual-e5-small_router_e5s/checkpoint-7000
2026-07-13 12:26:22.205 | INFO     | __main__:record:116 - tag=member_0_t019 | decision=skip_no_serialize | source=output/optuna/build_e28_trio/model/member_0_t019/
2026-07-13 12:26:22.207 | INFO     | __main__:record:116 - tag=member_1_t023 | decision=skip_no_serialize | source=output/optuna/build_e28_trio/model/member_1_t023/
2026-07-13 12:26:22.241 | INFO     | __main__:record:116 - tag=member_2_t043 | decision=skip_no_serialize | source=output/optuna/build_e28_trio/model/member_2_t043/
2026-07-13 12:26:22.286 | INFO     | __main__:record:116 - tag=e28_full_t019 | decision=skip_no_serialize | source=output/optuna/vast_r1/final_fd/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e28_full_t019/
2026-07-13 12:29:46.631 | INFO     | __main__:record:116 - tag=ceil_explore | decision=drop_lowf1 | self_f1=0.1006 | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_ceil_explore/checkpoint-4317
2026-07-13 12:33:11.817 | INFO     | __main__:record:116 - tag=ceil_firststep | decision=drop_lowf1 | self_f1=0.1342 | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_ceil_firststep/checkpoint-1347
2026-07-13 12:36:36.405 | INFO     | __main__:record:116 - tag=ceil_striphist | decision=drop_lowf1 | self_f1=0.2672 | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_ceil_striphist/checkpoint-10500
2026-07-13 12:41:17.886 | INFO     | __main__:record:116 - tag=cont_hist0 | decision=ok | self_f1=0.7304 | clean=True | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_cont_hist0/checkpoint-7000
2026-07-13 12:44:23.273 | INFO     | __main__:record:116 - tag=cont_prune12 | decision=ok | self_f1=0.7277 | clean=True | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_cont_prune12/checkpoint-3500
2026-07-13 12:46:53.856 | INFO     | __main__:record:116 - tag=cont_spectok | decision=ok | self_f1=0.7367 | clean=True | serialize=bareact | source=output/pat/ft_BAAI__bge-m3_cont_spectok/checkpoint-7000
2026-07-13 12:46:54.026 | INFO     | __main__:record:116 - tag=hardex | decision=error | source=output/pat/ft_BAAI__bge-m3_hardex/checkpoint-3500
2026-07-13 12:46:54.106 | INFO     | __main__:record:116 - tag=hist0 | decision=skip_no_serialize | source=output/pat/ft_BAAI__bge-m3_hist0/
2026-07-13 12:50:18.882 | INFO     | __main__:record:116 - tag=pair_grepread | decision=drop_lowf1 | self_f1=0.0192 | serialize=v1 | source=output/pat/ft_BAAI__bge-m3_pair_grepread/checkpoint-1916
